question,answer
Can the baby has teeth at birth?,"Many children may have teeth on birth. As these teeth have to root, these are shaky. It is better to extract these teeth, because these might be detached from gum and can go inside mouth even to the airway, which might be a life risk for the child. So please don’t be panicky and consult the baby with a dentist."
"What to do if the child has cold, running nose of cough?","Keep the baby warm if the baby gets cold, running nose or cough. 
Baby’s limbs become cold faster than other parts of the body.  So, by covering the limbs it is possible to protect from becoming cold. Keep the baby in plenty of lights and air, but not directly under a electric fan. 

Keep the baby’s nose clear.

Identification of pneumonia in a neonate:
- Fast breathing- Respiratory rate is more than 60 per minute or more. Count one up and one down of baby’s chest as a unit of respiration.
-  Nasal orifices will be swelled up on taking breath. 
-   Chest indrawing -Chest of the baby is in drawn during taking breath and chest ribs are seen clearly.
- Difficulty of sucking breast milk or cannot feed properly
।f you notice any one of these symptoms, please take the baby to hospital immediately.    
"
When can the baby can stand or sit,"Usually, the baby can sit on own at the age of 6- 10 months. At the age of 9- 10 months, child’s neck is strengthened and they can stand with the help of something. "
Soft part of children's forehead," Some area of the front of baby’s head/skull remains soft up to one and a half year of age. This soft area is very important for the baby. 

Later on, when the soft bones of the head/ skull enlarge with age, this soft area is closed. This area is often seen pulsating dure to baby's heartbeat and the pulsing of blood through their body. This is very normal. Please do not worry about it. 
"
Cause of pneumonia:,"Cause of pneumonia:
Virus, bacteria, fungus and germs of tuberculosis (TB) cause pneumonia.
But polluted air, chemicals etc also cause pneumonia. Germs of pneumonia can spread with sneezing and cough. Don’t be scared. Risk of pneumonia is preventable. 
"
What are the symptoms of pneumonia ,"Symptoms of pneumonia are:
-        Cough
-        Fever: Baby’s body temperature is more than 99.5-degree Fahrenheit. 
-        Fast breathing: Respiratory rate is more than 60 or more per minute. Count one up and one down of baby’s chest as a unit of respiration.
-        Difficulty of respiration and chest indrawing: Chest of the baby is in drawn during taking breath and chest ribs are seen clearly; wheezing sound during taking breath. 
-        Fatigue: Difficulty in sucking breast milk or cannot feed properly.

Please take care of your baby. If you notice any one of these symptoms, or suspect so, please immediately go to nearby health center/ hospital and consult an experienced doctor. Timely and proper treatment can protect your baby from risk of pneumonia.    


"
What should be done to prevent risk of pneumonia?,"Prevention of risk of childhood pneumonia:

Please timely vaccinate the baby to protect from pneumonia.
Please wash your hands as per procedure before contacting the baby. Use a handkerchief or right elbow to cover your nose and mouth while sneezing- coughing around the baby. 
Breast milk is effective in protection of pneumonia. Exclusively breast feed your baby.  Please give nutritious food to the baby when the baby becomes 6 months or 180 days old.
Keep the baby away from polluted air, smoke and dust.
Remember, pneumonia is preventable. Only your awareness can keep your baby protected.
If you notice any symptom of pneumonia or suspect so, please immediately contact nearby health center/ hospital and consult and experienced doctor. 
"
which Food should be taken during pregnancy ,"What a mother eats during pregnancy is very important for both the mother and her baby. The mother should eat nutritious and fresh food. There is no restriction in mother's diet. 

What a pregnant mother can eat:
- Paddy (rice, wheat)
- Pulses (all types, including chhola)
- Milk, Yogurt, Chhana
- Seasonal fruits
- Fresh vegetables
- Fish, Meat, Eggs
- 8 to 10 glasses or 2-3 liter water a day

What to do during pregnancy:
- take small meals 4-6 times a day
- pregnant mothers must wash their hands before eating

What NOT to do during pregnancy:
- Avoid oily and fried food
- Avoid excess tea or coffee


"
which Foods to avoid during pregnancy,"Remember to be cautious during pregnancy!

Do not eat soft cheese, pasteurized milk products, uncooked meat, fish or egg during pregnancy. There are germs in these types of food, and it can harm your baby. 

You must wash fruits and vegetables before eating. Cut fruits just before eating.

Remember! Green Papaya is not good to eat during pregnancy; so, you should avoid eating it.

There might be mercury in fish, it can harm your baby. So limit eating big fishes with mercury.

Do not eat stale food if it is one day old. If you have leftover food, please keep it in the fridge. Before eating, warm it in high heat. 

Do not do drugs or use narcotics during pregnancy. Limit tea and coffee intake. It will keep your caffeine level lower.
"
drinking milk during pregnancy,"You can drink milk during pregnancy. There is no harm in it!
Milk can give you necessary nutrition, which is good for you and your baby. You can have milk during breakfast.
"
Why should you take folic acid?,"Folic Acid: if your pregnancy is planned, you should take folic acid one month prior to conceiving. You can also take folic acid during the first three months of pregnancy. It helps to prevent abnormalities before your baby's birth. 
One of such abnormalities is ‘Anencephaly,' where a baby is born without parts of the brain or skull. This happens during growth of the  fetus in the womb. 

The need for folic acid cannot be filled with only food. You need to take folic acid tablets also. 

Contact your nearby health center or hospital and consult your doctor for folic acid tablets. 
"
Cough,"If you have a cough during pregnancy, please do not neglect it. Visit the hospital and take medicine according to the doctor's advice. Avoid iced water and cold food during pregnancy. Be careful of dust and anything you are allergic to.
You need to be extra careful and take precaution during pregnancy!
"
Danger signs during Pregnancy,"You need to know the danger signs, so that you can be cautious during pregnancy. 

Some danger signs during pregnancy are: 
Severe headache, blurred vision, unconsciousness, seizure, high fever, lower abdominal pain, excess vaginal discharge or vaginal bleeding, continuous pain more than 12 hours without labor pain, if baby does not move or moves less.

If you notice any of these signs during pregnancy, do not delay! Go to any nearby health center. 

Remember, timely and appropriate treatment can protect you and your baby from danger.

"
Convulsion during Pregnancy,"Seizure during pregnancy is a very serious danger sign. If you have a seizure, please rush to a nearby health center or government hospital!
"
Fever during Pregnancy,High fever during pregnancy is considered a serious danger sign. Please do not neglect high fever during pregnancy. Rush to a nearby government hospital or health center if you have a fever. 
Good habits during Pregnancy,"To take care of yourself and your baby, please practice these habits during pregnancy:

1. Avoid heavy work during pregnancy, do not lift weight.
2. If you have any complications during pregnancy or if the doctor instructed you, please avoid having sexual intercourse during pregnancy.
3. Do light exercise regularly. Try to walk for some time everyday. 
4. Try to sleep at least 8 hours at night. Rest at least 2 hours during day time. You must sleep on your left side during pregnancy. 
5. Eat nutritious food. You must eat fruits and vegetables everyday.
6. Consult with a doctor and take Iron, folic acid and other medicines timely.

Apart from these practices, please visit the hospital regularly for consultation. Abnormalities can be treated well If they are detected early.

"
What are the Risks during pregnancy? ,"Risks during pregnancy

-        If your age is below 20 or above 35 years old
-        If it’s your first pregnancy
-        If it’s your fourth pregnancy or more 
-        If you had another baby less than 2 years ago
-        If you have severe anemia
-        High blood pressure/ hypertension
-        diabetes
-        heart disease
-        If you are suffering from jaundice
-        It it’s a twin pregnancy
-        If you have vaginal bleeding 
-        If height of mother is less than 4 feet 10 inches

If you are aware of these risk factors, you can seek treatment at the right time. If you have any of these issues, consult your doctor.
"
cramping sensation  legs and knees?,"Do you feel a cramping sensation in your legs and knees?
This can happen to pregnant mothers if they have calcium deficiency.
If you feel like this, consult your doctor. Taking calcium tablets during pregnancy is very important.


"
Why do ultrasound?,"You can know the expected date of your delivery, how many babies you are having and the condition of your uterus by doing an ultrasound during the first 3 months of pregnancy. 

Ultrasound is very important during pregnancy! Doctors do this to know if there is any risk of complications or abortion. The first ultrasound in pregnancy helps to detect these. Doctors can also start treatment early if there is any complication.

But remember! Ultrasound is not done to know if you are having a boy or a girl baby. 
"
Why feel vertigo when stand up from sitting or sleeping?,"During pregnancy, if you suddenly stand up from a sitting or lying position, you may feel light headed. 

Always stand up slowly from a sitting or lying position. This can also happen due to anemia. If you experience this during pregnancy, it is good to consult a doctor.

"
what are the cause behind recurrent abortion? ,"There is no specific cause behind recurrent abortion. But it can happen if someone has any abnormality in their uterus, Polycystic ovarian syndrome and immune rejection can also cause abortion.
Let's learn the meaning of these words:
Polycystic ovarian syndrome- It is a hormonal problem of women.
Immune rejection - In this case, the body's immune system identifies the embryo as harmful for the body and attacks it as a regular defense mechanism. 

Mental stress, infection, thyroid disease and diabetes do not cause recurrent abortion. 
"
,"Your baby gains weight when it gradually grows in your uterus. This increasing weight puts pressure on your back and backbone. It can cause back pain or waist pain. If you have excess pain, do not hesitate to consult a doctor. Maintain a proper diet and take calcium tablets as per your doctor’s suggestion. Do household chores with the permission of your doctor.

Food taken by mother during pregnancy is very important for both mother and the baby. There is no restriction in mother's diet. But you must eat nutritious and fresh food. 

Pregnant mother can eat these food:
- Paddy (rice, wheat)
- Pulses (All types including chhola)
- Milk, Yogurt, Chhana
- Seasonal fruits
- Colorful vegetables
- Fish, Meat, Eggs
- Drink 8 to 10 glasses of water or 2 to 3 liter a day

What to do during pregnancy:
- Have small meals 4 to 6 times a day
- You must wash your hands before eating

What not to do:
- Avoid oily and fried food
- Avoid excess tea or coffee
"
Why is ANC visits are  important?,"Did you know that regular checkup is very important during pregnancy for you and your baby?

Every hospital visit during pregnancy is important. This 9-month journey will be smooth if you listen to your doctor and nurses’ suggestions. These checkups are designed to detect complications early and treat them for your and your baby’s betterment. 

Remember! You need minimum 4 visits during pregnancy: 

1st checkup: Within 4 months
2nd checkup: Between 6th to 7th months
3rd checkup: At 8th month
4th checkup: At 9th month.

Hospital is the best place for checkups.  
"
What is done at each checkup?,"Doctor or health provider must assess in every checkups
What happens in each checkup-
Doctor checks:
- Your pregnancy timeline 
- Expected date of delivery
- Weight
- Blood pressure

What can be diagnosed in checkups:
- If you have Anemia
- If you have jaundice
- If your leg has swollen

How your baby will be examined:
- Is the baby is gaining weight
- Is the position of the baby is alright in the uterus
- Is the baby's heart rate or heart beat okay

Sometimes, ultrasound is done during checkups. It is done to assess the condition of the baby or if the baby has any complication.

What tests you might need to do:
Blood test: It is done to assess anemia or diabetes or if you have any infection.
Urine test: It is done to detect problems related to hypertension, infection and diabetes level.

You will receive medicines and vaccinations during checkup:
- Iron folic acid tablet for daily 
- Calcium tablet for daily 
- Timely tetanus vaccination 


"
Why is the maternity service card important?,"Mother care card has all the information, from your pregnancy to post-delivery period.

After checking you up every time, doctors and health workers use this card to know about your health, proper growth of your baby in the uterus or is there any problem, any medicine required etc.

Please bring the card with you when you visit the hospital every time. Show it to the doctor or health worker. They need to know about the health condition of you and your child before giving you any treatment.

Be careful! Do not lose the card.
"
What are the signs of labor?,"Get ready for delivery after 8 months of your pregnancy.

If your home is far from the hospital, try to move somewhere closer. Always have a family member with you.

Remember! Labor pain can start at any time.

How to understand if you are going into labor:
- Repetitive abdominal pain, pain gradually increases
- Sticky discharge from vagina
- watery discharge (water breaking)
- Bleeding

If you are more than 8 months pregnant and you have these symptoms, rush to the hospital without any delay!
"
How to prepare for delivery?,"How to prepare for delivery-
Start planning ahead of your expected date of delivery. 

Firstly, pack up the necessary things.

What you must have: 
Phone number of transport or ambulance, cash for transport and food, ANC card, any other papers given from hospital, medicines you are currently taking.
Necessary personal belongings: Maxi, Salwar Kameez or Saree, comb and oil, sanitary napkin, toothpaste and brush, soap and towel or gamchha, blanket for the baby, soft and clean cotton dress for baby.
Fix a delivery companion who will be with you: Please identify who will accompany you at the time of delivery and keep him/ her informed ahead.
Identify a blood donor: Identify someone who can donate blood to you if needed.

Family should search for: A nearby hospital, emergency phone number.

Remember! A good preparation before delivery can tackle an emergency situation. It can save lives.
"
Why you should give birth to your baby at the hospital,"You should give birth to your baby at the hospital. Hospital is the safest place for both of you.

Do you know, there may be sudden problems during delivery which may cause the death of mother or child?

If you go to hospital for delivery, doctors and nurses will be there for you and your child's care. Quick treatment is possible if any complication arises.

In the hospital, you will not have to wait for stitches, saline bags, blood, injection or oxygen. 

Also, your baby will be vaccinated right after birth and tested for any abnormalities.

If you deliver your baby at home, it will take time to go to any hospital if something happens. This is very risky and life threatening for you and your baby. 

You can deliver safely at the hospital only. So, do not hesitate to go there.
"
When to take TT vaccine?,"TT vaccination is a must!

If you have not taken the TT vaccine before, you have to take 2 doses of this vaccine during pregnancy.

First one should be taken between 14 to 20 weeks. 
Second one should be taken between 20 to 24 weeks. 

But the timing might be changed as per doctor's advice. If you do not get vaccinated, tetanus can affect you or your baby. 
"
the baby's position changed?,"When a baby is in 'breech position', it means that the baby's lower body parts are at the lower part of your uterus. Normally, the baby's head is supposed to be in the lower part of your uterus for a normal delivery. During the initial phase of pregnancy, your baby floats in the uterus.
Baby's position changes during that time; it keeps changing up to 35 to 36 weeks. There is less possibility of any position change after that. 

There is nothing you can do if the baby is in breech position. DO NOT try to do anything on your own to change the baby’s position.

BUT DON’T PANIC! Babies can be delivered in breech position. Consult your doctor and follow his advice during this time.
"
Why are there lumps or lumps in the breast during pregnancy?,"There are a few causes behind breast lump or mass during pregnancy. Such as:
- Fibroadenoma (a rounded lump on the breast. It usually does not cause pain).
- Cyst,
- Infection in breast,
- Galactocele (it starts with a small nodule beneath the dark part around the nipple).

Remember! Every problem has treatment. If you check your health regularly, treatment can be done early.

If you feel any abnormality in your breast, rush to hospital or your doctor without any delay. They can give you necessary treatment or suggestions.

If you have any questions related to health education for you and your baby, please ask us. We are always there to answer your questions.  
"
Loss of appetite during pregnancy?,"Loss of appetite and distaste for food during pregnancy is very common. Do not worry about it! Let's learn why it happens: 
- Hormonal change in body: Hormone level fluctuates during pregnancy. It may change appetite.
- Morning sickness or nausea: Nausea or vomiting during pregnancy is called morning sickness. Usually, this happens during the first 3 months of pregnancy. Morning sickness can cause less appetite. 
- Psychological cause: Mental stress, worry or mood swings can affect your appetite. 
- Sensitivity to smell: During pregnancy, some smell can feel too strong. This is very normal! Sensitivity to food causes loss of appetite.
What can you do?
- Take small and frequent meal. Instead of bulk meal in breakfast, lunch, and dinner time, build a habit of taking smaller meals throughout the day. It will provide nutrition to you and your baby. But keep nutritious food in each meal.
- Keep the foods you like the most in your food list.
- You must drink plenty of water during pregnancy. Remember! dehydration will harm both you and your baby. Eat fresh fruit juice and soup regularly. These can prevent dehydration.
If your appetite is very low and you feel unwell, contact your doctor. They can suggest you an alternative to the food you are unable to eat.
"
"How can understand whether you are pregnant or not without a test? 
","Did you know, you can understand whether you are pregnant or not without a test? 

Although you can do a pregnancy test at your home, if you notice few symptoms, you can assume that you are pregnant.

The symptoms:
- Missing a period is a symptom of pregnancy. But there are other reasons for missing period. It is not good to ignore a missed period or consider it as normal. You must visit the hospital if you miss your regular period. 
- There can be a mild tenderness in breast during early pregnancy. But no worries! It is normal and the pain goes away after a few weeks. You should go for pregnancy test if you have such breast pain. 
- Frequent vomiting is another sign of pregnancy. Some people may not vomit but feel nauseous. You should go for pregnancy test if you have such symptom. 
- Some women experience low fever or abdominal pain beside vomiting. 
- Sometimes pregnant women cannot tolerate the taste and smell of some food. They might not like their favorite food either. 

If you have these symptoms, you must go for health checkup. Remember! You cannot confirm pregnancy without a test. Contact us for necessary health related information during your pregnancy journey. We are always there to help!

"
When to take iron and calcium?,"Eat Iron and Calcium rich food regularly!

Iron and calcium rich food is very necessary for proper growth of the baby in womb and for mother's health. You should eat these foods from the beginning of your pregnancy to the end. "
is there any relation with taking tea or coffee with iron and calcium intake?,"Never take Iron tablet and tea together! Iron cannot be absorbed and cannot function if it is taken with tea. 

Remember! It is very harmful for both you and your baby. So, take tea or coffee after sometime of taking Iron tablet. Moreover, please avoid excessive tea or coffee during pregnancy. "
When can the baby's movements be understood?,"Usually, a mother can notice the baby’s movement within 4 to 6 months of pregnancy. But it can be different for different people.
Some mother can feel their baby’s movement from 3rd month of pregnancy. If you do not feel your movement within 4 to 6 months, consult a doctor or health provider without any delay. Also, if you start checkup from the very beginning of pregnancy, the doctor will check your baby’s movement in each checkup."
Pulse can be eaten?,You can take all types of pulses/ dal during pregnancy if you do not have any allergy or problem of indigestion.
"
How can family members support? ","Pregnancy is not a journey of a woman alone. Instead, family has a vital role in mother's care during pregnancy and after delivery. 

How can family members support? 

- Ensure easily available nutritious food for the pregnant mother.
- Divide pregnant mother’s works among yourselves so that the mother can have proper rest.
- Ensure that pregnant mother takes her medicine regularly, especially Iron and Calcium tablets as per doctor's prescription. 
- Accompany the mother for 4 checkups during pregnancy, TT vaccination and delivery. 
- Be ready for any emergency. Keep cash savings for visiting the hospital separately. Keep the emergency phone numbers and probable blood donor's phone number with you. 
- Be alert about the danger signs! Learn about the possible problems the mother may have. If necessary, take her to the hospital. 
- Stay beside her for mental support. During pregnancy, a mother might worry about many things. Assure her that everything will be alright. Assure her that her family is with her.

There is no alternative of the family to ensure safe return of a mother with a healthy baby to home. "
Sexual Intercourse ,"If there's a risk of having a miscarriage or delivering the baby too early, it's better not to have sex. Otherwise, it's okay to have sex, but not too often or too rough.

Usually, there's no problem with having sex while you're pregnant, unless you see bleeding from your vagina. If that happens, you should avoid sex in the last three months of pregnancy.

Sometimes, in the later part of pregnancy, you might find it more comfortable to change the position for sex, like pregnant mother being on top. Having sex during pregnancy is normal, and for most women with low-risk pregnancies, it's safe. 





"
TT Vaccination,"If you haven't got shots for tetanus before, you need two during pregnancy. The first one when you're 16-20 weeks pregnant and the second at 20-24 weeks. They should be at least one month apart.

Sometimes, if you had a shot less than a year ago, you might only need one dose. If you missed getting it during pregnancy, you should still get it, even if it's just 7 days before delivery.

They won't give you the shot in the first three months of pregnancy because it could cause problems. So, they wait until after 3 months.

If you got tetanus shots before, you might need one more during pregnancy. This extra shot will keep you protected for 5 years. Better not to take the vaccine every time you're pregnant because it can have some side effects."
Urinary Symptoms during pregnancy,"When you're pregnant, you might find yourself peeing more often or leaking a bit when you laugh or cough. This happens because:

1. Your belly is growing, which puts more pressure on your bladder.
2. The baby inside you is pressing on your bladder, making it hold less pee.




"
Leucorrhoea,"When you're pregnant, you might notice more discharge from your vagina. This is because your body is making extra estrogen. Usually, you don't need any additional treatment unless you have an infection. For any further query, it's okay to talk to your doctor.




"
Leg Cramps,"During the second half of pregnancy, you might experience strong and painful cramps, usually in the calf and leg muscles, especially at night.

This can happen because your body loses important minerals like calcium, sodium, and chloride when you vomit a lot, sweat excessively, or don't get enough salt in your diet.

To help with the pain:

1. Gently massage the tight muscles and stretch them slowly.
2. Taking something called calcium gluconate might also be useful.
If you ever feel unsure or the pain doesn't get better, it's okay to talk to your doctor. They can guide you on what to do during your pregnancy."
,"
In the early weeks of pregnancy, you might feel your breasts getting tender and tingly. As you move into the second month, your breasts will grow larger and might feel lumpy. You might notice delicate veins under your skin, and the area around your nipples (areola) will darken. The nipples themselves will get bigger, darker, and more raised.

Around the third month, you might notice a thick yellowish fluid called colostrum coming from your nipples. It's normal.

In the fifth month, a dark area might appear around the main part of the nipple, and that's called the secondary areola.

All these changes are part of your body getting ready for the baby. If you ever have questions or concerns, it's good to talk to your doctor. They can help you understand what's happening."
Sleep ,"When you're pregnant, it's good to take rest for about 2 hours during the day and sleep for 8 hours at night. Once your belly starts to grow, the best way to sleep is on your left side with your knees bent. This not only feels more comfortable but also helps the blood flow for both you and the baby.

Avoid sleeping on your right side for too long because it might create pressure on your liver. It's okay to sleep on the right side for a little bit. Sleeping on your back isn't the best because it can create pressure on your spine, and it might make your lower back hurt. It can also put more pressure on your heart.

Using pillows to support your belly and back can help you find a good sleeping position and make you more comfortable. If you have any questions about sleeping during pregnancy, just ask your doctor. They can help you sleep better."
Weight Gain,"During pregnancy, it's normal for women to gain about 10-12 kg, and most of this happens in the second (13-28 weeks) and third trimesters (29-40 weeks). On average, you might gain around 350-400 grams per week.
Out of the total weight gain, 6 kg comes from changes in your body (like breast, fat, blood, and uterine tissue), and 5 kg is because of the baby, placenta, and amniotic fluid.
Breaking it down further, out of the 11 kg you gain:
7 kg is water,
3 kg is fat,
and 1 kg is protein.
It's essential to gain weight for a healthy pregnancy, and your doctor will guide you on the right amount for you. If you have any questions, feel free to ask your doctor."
Iron Deficiency Anaemia,"Low iron levels are a common cause of anemia during pregnancy. Usually, you need 10 mg of iron each day, and your body absorbs 1 mg. But during pregnancy, you need more - about 15 mg every day.
Here's what you can do:
1. Eat iron-rich foods. Foods like liver, meat, kidney, eggs, and green vegetables have a lot of iron.
2. Take iron pills and other medicines as per your doctor advises. 
3. Sometimes, your doctor might recommend getting iron through a shot. Follow your doctor's advice for this.
"
Hyperemesis Gravidum,"Many pregnant women feel sick and may throw up, which is quite common and happens to 50-90% of pregnant women. In some cases, it can be more severe, causing significant weight loss, electrolyte imbalance, and ketonuria. This severe form of vomitting can have a big impact on a woman's health.

The exact reasons for feeling sick during pregnancy are not known. When these symptoms occur, it's important to explore other possible causes. 

Here are some things you can do to feel better without taking medicine:

1. Know that, in most cases, you'll start feeling better by the end of the first trimester.
2. When getting out of bed in the morning, do it slowly. Keep salted biscuits near your bed and eat some before getting up.
3. Eat small, frequent meals of foods and drinks that don't make you feel sick.
4. Focus on eating, not on what you eat. 
5. It might help if someone else does the cooking at home since cooking smells can make you feel more nauseous.
6. Stop taking iron supplements for now with your doctor's permission. 
7. Keep track of what you eat and drink and how much. Also, keep an eye on how much you pee.
8. Rest more because feeling tired can make the symptoms worse. You might need help with your other children at home.
9. Having ginger can help in reducing nausea and vomiting during pregnancy."
Heartburn,"Sometimes, during pregnancy, you might feel discomfort because the stomach's contents come back up into the lower part of the throat. This happens because the muscles that usually keep things in your stomach relax due to the growing baby pushing on them. In some cases, a part of the stomach can even push up through the muscle that separates the chest and the stomach.

To help with this:

1. Eat the whole meal in smaller portions more often.
2. Try not to bend over too much or lie completely flat.
Take medication as the doctor prescribes. "
"If the child is 6 months old, what other family foods should be given to the child?","Feed your baby nutritious food when they are 6 months or 180 days old. But do not stop feeding them breast milk!
Protein or meat, carbohydrates and vitamins should be in your baby’s food list. Add other home-made foods little by little. As your baby grows, the amount of these foods will increase along with mother's milk. You need to be careful that the baby gets all the nutritious foods right.
For example- 
- Carbohydrates: foods that provide energy (rice, bread, noodles, potatoes, bread, etc.) 
- Proteins: foods that help the baby grow (fish, meat, eggs, pulses etc.) 
- Fats: which is necessary for energy and growth (oil, butter, ghee, dalda etc.) 
- Food like vitamins and fibers (vegetables, fruits etc.)

Start with small amounts of one type of food, rather than giving the baby too many foods at once. Slowly introduce another new type of food every week. For example, ripe banana can be smashed as a first meal. Then you can slowly put softly cooked khichuri. In this khichuri add rice and dal as well as any vegetables, egg or fish or meat and oil. Be careful of giving your baby well-cooked, perfectly washed right amount of food that contains all nutrients. For example: For 1 bowl of khichuri, you can use 2 handfuls of rice, 1 handful of pulses, 1 handful of vegetables, 1 piece of fish/meat or 1 egg and 5 spoons of oil. It contains 650 calories and 20 grams of meat. This khichuri can be cooked all at once and can be fed to a baby in 4 portions. ‘

Remember!
- Do not force feed the baby. 
- Do not feed the baby for more than half an hour at a time.
"
How many times a day and how much will I give the extra family meal?,"How to give homemade food to your baby according to their age: 
•6 months to 8 months: 250 ml. or half a bowl of one- poa bowl 2 times a day 
•9 months to 11 months: 250 ml. or half a bowl of one-poa bowl 3 times a day, with 1-2 nutritious snacks 
•From 12-24 months: 250 ml or 1 bowl of a one- poa bowl 3 times a day and 1-2 nutritious snacks 

You can give the child any fruit, curd, pies, pudding, potato chips, fried potatoes, tikia, noodles etc. as snacks. Food list till age 3 is very important for brain development of the baby. Also make sure that the food contains more oil, oil-like foods and iron-rich foods like bananas, liver, red vegetables etc.
"
Baby extra food,"After your baby turns 6 months old, you can start giving them more than just breast milk. Include these in their meals:
- Protein-rich foods: Fish, meat, eggs, and pulses.
- Carbohydrates-rich foods: Rice, potatoes, and bread.
- Vitamin-packed foods: Seasonal fruits and colorful vegetables.
Begin with bananas or fruit juice as new foods. Start with small amounts and gradually increase as your baby gets used to them. You can later introduce cooked vegetable khichuri.

Remember!
- Avoid too much salt or pepper in your baby's food.
- Don't force your child to eat. Let them get familiar with new foods at their own pace.
"
Khichuri,"Include a variety of vegetables in your baby's meals, especially in khichuri. Mix different vegetables while cooking, and let your child eat boiled and stuffed veggies too. Ensure they drink enough water.

If your baby experiences constipation, don't worry. Contact the nearest hospital for guidance."
Oral contraceptive pill (OCP),"For breastfeeding mothers, the oral contraceptive pill (OCP) is a good birth control option. it's important to consult the nearest government hospital or family planning center for advice. They can guide you on the right contraceptive method based on your specific needs and situation. Avoid making decisions on your own; seek professional advice."
Baby umbilical hernia,"Pay attention to your baby's navel when it cries. If your baby's navel swells when crying, it might be a sign of umbilical hernia, often caused by weak muscles around the navel. The swelling usually happens during crying, excessive coughing, or constipation. It tends to shrink back when the baby calms down or sleeps.
Most times, this issue resolves by the age of 1. If the hernia is large in size, it may take 4-5 years to heal completely. There is nothing to worry about it! It's generally not a serious problem.

But if a part of the intestine gets stuck, consult a doctor immediately. Doctors at the nearest government hospital or pediatrician can perform tests to understand the situation and provide the best advice and treatment. 

Reach out to us if you have any health-related query about your child.
"
What cream should I use on the baby's face?,"A newborn baby's skin is much thinner and more sensitive than that of an adult. So, it is important to be careful in baby skin care. There are various creams or lotions available in the market. Don't be attracted by misleading advertisements. 

Remember! The chemicals in these creams or lotions can be harmful to your baby's delicate skin. Many children develop allergies after using the lotion. This is due to the side effects of the chemicals in the lotion. So don't use lotions or creams excessively unless your baby's skin is extra dry. In case of dry skin, you can use baby cream as per doctor's advice. 

You can bathe the baby with lukewarm water to keep it clean. If it is not possible to give a bath every day, at least wipe the baby’s body. You can apply oil all over the baby's body before bathing, especially during winter.

Always prioritize gentle care for your baby's sensitive skin.
"
Children's cosmetics,"Give special attention to your baby's skin care!
Soap: Do not use alkaline soap on your baby. Choose a gentle baby soap or one suitable for children. Don't use soaps with special ingredients without consulting a doctor.
Lotion and Powder: After bathing, use baby lotion on your baby's body. Dry them with a towel, then wrap them in a dry cloth before applying lotion. You can also use baby powder on areas like the neck, armpits, and buttocks.
Oil: After the baby's umbilical cord falls, if the doctor says everything is fine, you can use coconut oil, baby oil or olive oil on baby’s body. You can use your daily oil for baby. Ensure that the oil is at normal temperature, not hot or cold. It is better not to use any oil containing mustard oil on your baby.
Kajal: Do not apply kajal on your baby's eyebrows. It can harm their eyes. Don't use oils, lotions, or powders in the baby's nose, eyes, or mouth. Also, avoid excess oil on the body. 
"
,"Intercourse after delivery:
After childbirth, it's important to wait 45 to 60 days before engaging in sexual intercourse. If there's any pain during intercourse after this time, it's best to abstain for up to 90 days.

For cesarean delivery, wait at least 3 months, or 90 days, before resuming sexual activity. If there's pain even after this time, seek a physical examination to check for complications. Contact a nearby government hospital or specialist doctor for the right advice and treatment based on your situation."
When should the child be fed vitamin K?,"Babies are given Vitamin K right after they are born. They need Vitamin K to be healthy. Babies can get it through a small injection or by putting it in their mouth. Usually, it is given by mouth because it's easier. Your baby will get 3 doses of Vitamin K: 
- Right after being born 
- The 2nd dose after a week 
- The 3rd dose after 4 to 6 weeks. 

This helps your baby grow strong and healthy!  
"
How to gain weight?,"Every child is different from each other. Weight, height, growth rate are also different for each child. A child's growth rate varies according to birth weight, dietary habits, hormonal influences, parents' average weight and height.

Breastfeeding only: Do not feed the baby any additional food like water, honey, cow's milk, goat's milk etc. from birth till 6 months. These foods can cause vomiting, indigestion or diarrhea of the baby. Feed the baby mother's milk every 2-3 hours. Feed from both breasts at each feeding. That's all a baby needs to gain weight, maintain good health and grow during the first 6 months.

Check if the baby is getting enough breast milk.
If you see-
• Your baby is urinating 5-6 times a day
• Laughing and playing all day, then you will know that they are getting milk properly.

Remember! Healthy children's habit is to eat frequently. So, if your baby wants to eat again and again, don't think that their stomach is not full with mother's milk. As often as the baby wants to eat, let them eat.  



But please contact the nearest government hospital or paediatrician, to understand the actual condition of your baby and check whether there is any problem or not. They can give you the best advice and treatment according to your child's needs.
"
Weight loss in the first week of the baby?,"Baby loses some weight in the first week after birth, it is very normal and a sign of good health. At the time of birth, some excess water accumulates in the baby's body. In 2-3 days, this water decreases due to which it’s weight decreases.

Within 10 days, the weight usually returns, and from then on, it naturally increases as the baby grows. During this time, continue to feed the baby exclusive breast milk to maintain this growth.

Breastfeeding only! Do not feed the baby any additional food like water, honey, cow's milk, goat's milk etc. from birth till 6months. Eating these can cause vomiting, indigestion or diarrhea in the baby. Feed him mother's milk every 2-3 hours. Feed from both breasts at each feeding. That's all a baby needs to gain weight, maintain good health, and grow.
"
